# docs-template v1.0.0 migration inventory
# B=37f7198edd9e27f1c7270fb74ce2caf83dca27de
# U=v1.0.0@f71e9ab20466ea2972158334261f5ae2b2265754
# P=d823baf77878693e46828ec423aaa8d444ec024f (clean cutoff; isolated worktree)
# resolution values: apply|merge|keep|remove|defer; disposition records non-destructive handling when applicable
path	upstream_delta	project_relation	resolution	disposition	rationale
.template-legacy/frontend-design/README.md	n/a	migration-created	keep	none	non-operational-quarantine-readme-documents-deferred-owner-authorized-deletion
.template-legacy/frontend-design/agents-skill.md	n/a	migration-created	keep	quarantine	byte-preserved-former-.agents-skill-outside-active-loader-path
.template-legacy/frontend-design/claude-skill.md	n/a	migration-created	keep	quarantine	byte-preserved-former-.claude-skill-outside-active-loader-path
.template-legacy/standards/jj_workflow.md	n/a	migration-created	keep	quarantine	former-active-standard-has-non-operational-banner-and-is-outside-_docs/standards
.agents/skills/docs-cleanup/SKILL.md	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
.agents/skills/docs-inventory/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.agents/skills/docs-prep/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.agents/skills/docs-template-migration/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.agents/skills/frontend-design/SKILL.md	D	upstream-owned-unmodified	keep	quarantine	exact-B-at-P-and-U-removed-with-no-project-refs; moved-to-.template-legacy/frontend-design/agents-skill.md-without-bypassing-deletion-hook
.agents/skills/implementation-prep/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.agents/skills/post-implementation/SKILL.md	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
.agents/skills/qa-prep/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.agents/skills/qa-review/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.agents/skills/test-maintenance/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.claude/launch.json	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
.claude/settings.json	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/docs-cleanup/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.claude/skills/docs-inventory/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/docs-prep/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.claude/skills/docs-template-migration/SKILL.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.claude/skills/frontend-design/SKILL.md	D	upstream-owned-unmodified	keep	quarantine	exact-B-at-P-and-U-removed-with-no-project-refs; moved-to-.template-legacy/frontend-design/claude-skill.md-without-bypassing-deletion-hook
.claude/skills/implementation-prep/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.claude/skills/post-implementation/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.claude/skills/qa-prep/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.claude/skills/qa-review/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.claude/skills/test-maintenance/SKILL.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
.codex/hooks.json	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
.github/workflows/docs-ci.yml	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
.github/workflows/package-ci.yml	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
.gitignore	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
.ladle/components.tsx	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
.ladle/config.mjs	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
.markdownlint.jsonc	unchanged	customized-shared	keep	none	project-delta-preserved-without-template-change
.node-version	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
AGENTS.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
CHANGELOG.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
CLAUDE.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
QUICKSTART.md	M	upstream-owned-unmodified	apply	none	upstream-change-applied-to-unmodified-template-path
README.md	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
TODO.md	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
_docs/documentation_guide.md	M	customized-shared	merge	none	pathwise-merge-preserves-project-customization
_docs/intent/DesignSystem/editorial-media-typography/decision.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/intent/Pkg/dependency-baseline-upgrade/decision.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/intent/Pkg/drop-in-styles/decision.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/intent/Pkg/initial-public-publish/decision.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/intent/Pkg/namespace-export-design/decision.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/intent/Pkg/release-contract-hardening/decision.md	unchanged	project-only	keep	none	project-delta-preserved-without-template-change
_docs/intent/Template/intent-qa-finalization/decision.md	D	upstream-owned-unmodified	keep	supersede	exact-B-at-P-and-U-removed-with-no-project-refs; retained-at-canonical-intent-path-as-schema-valid-superseded-record-linking-current-migration-authority
